table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-06-22T11:01:01.582071,0.237
profitandloss,1276,1070,206,2026-06-22T11:01:01.991905,0.646
balancesheet,1312,1140,172,2026-06-22T11:01:02.258479,0.913
cashflow,1187,1056,131,2026-06-22T11:01:02.419627,1.074
sectors,92,92,0,2026-06-22T11:01:02.487410,1.142
documents,1585,1456,129,2026-06-22T11:03:32.117060,150.772
analysis,20,4,16,2026-06-22T11:03:32.606048,151.261
prosandcons,16,14,2,2026-06-22T11:03:32.649776,151.304
stock_prices,5520,5520,0,2026-06-22T11:03:33.929358,152.584
market_cap,552,552,0,2026-06-22T11:03:34.059508,152.714
peer_groups,56,56,0,2026-06-22T11:03:34.092034,152.747
financial_ratios,1184,1041,143,2026-06-22T11:03:34.504062,153.159
