company_id,year,capital_allocation_pattern
ABB,2012-12,Healthy/Mature
ABB,2014-03,Restructuring/Survival
ABB,2015-03,Startup/Early Stage
ABB,2016-03,Healthy/Mature
ABB,2017-03,Healthy/Mature
ABB,2018-03,Growth/Expansion
ABB,2019-03,Growth/Expansion
ABB,2020-03,Growth/Expansion
ABB,2021-03,Healthy/Mature
ABB,2022-03,Healthy/Mature
ABB,2023-03,Growth/Expansion
ABB,2024-03,Healthy/Mature
ABB,2024-09,Restructuring/Survival
ADANIENSOL,2014-03,Restructuring/Survival
ADANIENSOL,2015-03,Startup/Early Stage
ADANIENSOL,2016-03,Healthy/Mature
ADANIENSOL,2017-03,Healthy/Mature
ADANIENSOL,2018-03,Growth/Expansion
ADANIENSOL,2019-03,Growth/Expansion
ADANIENSOL,2020-03,Growth/Expansion
ADANIENSOL,2021-03,Healthy/Mature
ADANIENSOL,2022-03,Healthy/Mature
ADANIENSOL,2023-03,Growth/Expansion
ADANIENSOL,2024-03,Healthy/Mature
ADANIENSOL,2024-09,Restructuring/Survival
ADANIENT,2013-03,Growth/Expansion
ADANIENT,2014-03,Healthy/Mature
ADANIENT,2015-03,Growth/Expansion
ADANIENT,2016-03,Healthy/Mature
ADANIENT,2017-03,Growth/Expansion
ADANIENT,2018-03,Growth/Expansion
ADANIENT,2019-03,Asset Seller/Deleveraging
ADANIENT,2020-03,Healthy/Mature
ADANIENT,2021-03,Growth/Expansion
ADANIENT,2022-03,Growth/Expansion
ADANIENT,2023-03,Healthy/Mature
ADANIENT,2024-03,Growth/Expansion
ADANIENT,2024-09,Restructuring/Survival
ADANIGREEN,2017-03,Growth/Expansion
ADANIGREEN,2018-03,Growth/Expansion
ADANIGREEN,2019-03,Growth/Expansion
ADANIGREEN,2020-03,Growth/Expansion
ADANIGREEN,2021-03,Growth/Expansion
ADANIGREEN,2022-03,Growth/Expansion
ADANIGREEN,2023-03,Healthy/Mature
ADANIGREEN,2024-03,Growth/Expansion
ADANIGREEN,2024-09,Restructuring/Survival
ADANIPORTS,2013-03,Growth/Expansion
ADANIPORTS,2014-03,Growth/Expansion
ADANIPORTS,2015-03,Healthy/Mature
ADANIPORTS,2016-03,Growth/Expansion
ADANIPORTS,2017-03,Healthy/Mature
ADANIPORTS,2018-03,Healthy/Mature
ADANIPORTS,2019-03,Growth/Expansion
ADANIPORTS,2020-03,Healthy/Mature
ADANIPORTS,2021-03,Growth/Expansion
ADANIPORTS,2022-03,Healthy/Mature
ADANIPORTS,2023-03,Healthy/Mature
ADANIPORTS,2024-03,Healthy/Mature
ADANIPORTS,2024-09,Restructuring/Survival
ADANIPOWER,2013-03,Growth/Expansion
ADANIPOWER,2014-03,Growth/Expansion
ADANIPOWER,2015-03,Healthy/Mature
ADANIPOWER,2016-03,Healthy/Mature
ADANIPOWER,2017-03,Healthy/Mature
ADANIPOWER,2018-03,Healthy/Mature
ADANIPOWER,2019-03,Healthy/Mature
ADANIPOWER,2020-03,Healthy/Mature
ADANIPOWER,2021-03,Healthy/Mature
ADANIPOWER,2022-03,Asset Seller/Deleveraging
ADANIPOWER,2023-03,Asset Seller/Deleveraging
ADANIPOWER,2024-03,Asset Seller/Deleveraging
ADANIPOWER,2024-09,Restructuring/Survival
AMBUJACEM,2012-12,Healthy/Mature
AMBUJACEM,2013-12,Healthy/Mature
AMBUJACEM,2014-12,Healthy/Mature
AMBUJACEM,2015-12,Healthy/Mature
AMBUJACEM,2016-12,Healthy/Mature
AMBUJACEM,2017-12,Healthy/Mature
AMBUJACEM,2018-12,Healthy/Mature
AMBUJACEM,2019-12,Healthy/Mature
AMBUJACEM,2020-12,Healthy/Mature
AMBUJACEM,2021-12,Healthy/Mature
AMBUJACEM,2023-03,Growth/Expansion
AMBUJACEM,2024-03,Growth/Expansion
AMBUJACEM,2024-09,Restructuring/Survival
APOLLOHOSP,2013-03,Growth/Expansion
APOLLOHOSP,2014-03,Healthy/Mature
APOLLOHOSP,2015-03,Growth/Expansion
APOLLOHOSP,2016-03,Growth/Expansion
APOLLOHOSP,2017-03,Growth/Expansion
APOLLOHOSP,2018-03,Healthy/Mature
APOLLOHOSP,2019-03,Healthy/Mature
APOLLOHOSP,2020-03,Healthy/Mature
APOLLOHOSP,2021-03,Healthy/Mature
APOLLOHOSP,2022-03,Healthy/Mature
APOLLOHOSP,2023-03,Healthy/Mature
APOLLOHOSP,2024-03,Healthy/Mature
APOLLOHOSP,2024-09,Restructuring/Survival
ASIANPAINT,2013-03,Healthy/Mature
ASIANPAINT,2014-03,Healthy/Mature
ASIANPAINT,2015-03,Healthy/Mature
ASIANPAINT,2016-03,Healthy/Mature
ASIANPAINT,2017-03,Healthy/Mature
ASIANPAINT,2018-03,Healthy/Mature
ASIANPAINT,2019-03,Healthy/Mature
ASIANPAINT,2020-03,Healthy/Mature
ASIANPAINT,2021-03,Healthy/Mature
ASIANPAINT,2022-03,Healthy/Mature
ASIANPAINT,2023-03,Healthy/Mature
ASIANPAINT,2024-03,Healthy/Mature
ASIANPAINT,2024-09,Restructuring/Survival
ATGL,2018-03,Restructuring/Survival
ATGL,2019-03,Restructuring/Survival
ATGL,2020-03,Restructuring/Survival
ATGL,2021-03,Restructuring/Survival
ATGL,2022-03,Restructuring/Survival
