,return_on_equity_pct,roce_percentage,net_profit_margin_pct,operating_profit_margin_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow_cr,sales_cagr_5yr,pat_cagr_5yr
return_on_equity_pct,1.0,0.1090813603018199,0.0027145216672767895,-0.018147350460788615,-0.06841260207501192,0.07490674824387149,0.9551294163471309,0.004039290027005215,-0.04137655311774662,0.09452028943036424
roce_percentage,0.1090813603018199,1.0,-0.042474355696243964,-0.06349550226025304,-0.20874666514646345,-0.026651827174578143,0.09605850825611059,0.1260415518598757,-0.05641074834779604,-0.04225088196822024
net_profit_margin_pct,0.0027145216672767895,-0.042474355696243964,1.0,0.3151634413795125,-0.02464288242404605,0.7861574744031735,-0.012049519562215817,-0.02410370895334421,0.21087808031360544,0.0022770465614145876
operating_profit_margin_pct,-0.018147350460788615,-0.06349550226025304,0.3151634413795125,1.0,0.21439597058496418,0.16177551608437848,0.0030065090174587247,-0.039820593772894,0.1414828530788675,0.07065593709533613
debt_to_equity,-0.06841260207501192,-0.20874666514646345,-0.02464288242404605,0.21439597058496418,1.0,-0.06151657546597237,-0.09344882102868537,-0.3530797554086698,0.31962082822575183,0.39555222109190324
interest_coverage,0.07490674824387149,-0.026651827174578143,0.7861574744031735,0.16177551608437848,-0.06151657546597237,1.0,0.06178197641515909,-0.1956614635515419,0.2837823938713872,0.0287064725328446
asset_turnover,0.9551294163471309,0.09605850825611059,-0.012049519562215817,0.0030065090174587247,-0.09344882102868537,0.06178197641515909,1.0,0.02451380327359421,-0.015813536530168083,0.19697021139582177
free_cash_flow_cr,0.004039290027005215,0.1260415518598757,-0.02410370895334421,-0.039820593772894,-0.3530797554086698,-0.1956614635515419,0.02451380327359421,1.0,-0.20374173103061735,-0.0481212572958077
sales_cagr_5yr,-0.04137655311774662,-0.05641074834779604,0.21087808031360544,0.1414828530788675,0.31962082822575183,0.2837823938713872,-0.015813536530168083,-0.20374173103061735,1.0,0.3810382380936496
pat_cagr_5yr,0.09452028943036424,-0.04225088196822024,0.0022770465614145876,0.07065593709533613,0.39555222109190324,0.0287064725328446,0.19697021139582177,-0.0481212572958077,0.3810382380936496,1.0
