table,rows_in,rows_out,rejected,timestamp,runtime_s
companies,92,92,0,2026-06-23T10:03:18.698171,0.379
profitandloss,1276,1070,206,2026-06-23T10:03:19.078242,0.759
balancesheet,1312,1140,172,2026-06-23T10:03:19.332825,1.014
cashflow,1187,1056,131,2026-06-23T10:03:19.514565,1.196
sectors,92,92,0,2026-06-23T10:03:19.580081,1.261
documents,1585,1456,129,2026-06-23T10:05:54.854392,156.536
analysis,20,4,16,2026-06-23T10:05:54.978262,156.659
prosandcons,16,14,2,2026-06-23T10:05:54.999927,156.681
stock_prices,5520,5520,0,2026-06-23T10:05:55.609455,157.29
market_cap,552,552,0,2026-06-23T10:05:55.676452,157.357
peer_groups,56,56,0,2026-06-23T10:05:55.701855,157.383
financial_ratios,1184,1041,143,2026-06-23T10:05:56.056883,157.738
